Time,User,Chat
11:01:58,qkrwjdals21,캠드립은 보고잇으니까 엿같긴하네
11:01:59,a4112,두근두근
11:01:59,과자_단맛짠맛,ㅈㄷㄹㅇ
11:01:59,먹어도배고픈사람,오
11:02:00,미로ㅋ,실 패
11:02:00,누군가조종하는벌목기,??
11:02:00,hee95294,ㅈㅂㅇㅇ
11:02:01,봄가을겨울,잘들여요
11:02:01,랄팤슥,ㅈㄷㄹㅇ
11:02:01,scorpion7715,파카 사랑해 파카 사랑해
11:02:01,먹어도배고픈사람,ㅠ
11:02:01,alstjrdl97,얼굴캠말고 발캠부터 천천히시작하죠
11:02:02,uhdoh93,!업타임
11:02:02,싹둑,방송 업타임: 0 시간 06 분 07 초
11:02:03,h1k1m4n,팍하
11:02:03,길가에떨어진휴지조각,?
11:02:04,hanamother,아
11:02:05,hee95294,ㅈㄷㄹㅇ
11:02:05,osizoa,ncs좀 그만듣죠
11:02:05,guswns6080,꾸앙
11:02:09,토고농민,반갑습니다
11:02:09,봄가을겨울,ㅈㄷㄹㅇ
11:02:09,미로ㅋ,작게들려요
11:02:09,topking65,ㄲㅂ
11:02:10,핑와먹는서폿,작아요
11:02:10,NEVE_010n,ㅈㄷㄹㅇ
11:02:10,정인협,ㅈㄷㄹㅇ
11:02:10,컷컽캇,ㅈㄷㄹㅇ
11:02:11,김치전굽는사람,ㄷㄹㅇ
11:02:11,호날두와일본여행간김찬호,작아요
11:02:11,hee95294,좀 작네요
11:02:11,dydgusgod,TooSpicy
11:02:11,minghgh,너무작아요
11:02:11,파카가돈절래를그린데이,ㅇㄷㄹㅇ
11:02:12,jong321,!업타임
11:02:12,파카츄99,너무작아요
11:02:12,kliasd951,ㅈㄷㄹㅇ
11:02:12,토고농민,잘들려요ㅕ
11:02:12,ha8362,잘안들려요
11:02:12,누군가조종하는벌목기,작아요
11:02:13,bog0215,작아요
11:02:13,mongdoli7,작아요
11:02:13,과자_단맛짠맛,더 올려주세요
11:02:14,리니사,소리가 작아요
11:02:14,파카1111,ㄴㄷㄹㅇ
11:02:14,정인협,작아요
11:02:15,kdw5882213,작아용
11:02:16,ilgoo94,!업타임
11:02:17,dudwp1552,노래 좀 꺼줘요
11:02:17,미로ㅋ,엄청작게들려요
11:02:17,싹둑,방송 업타임: 0 시간 06 분 22 초
11:02:20,yong10215,팍사
11:02:20,도름,?
11:02:21,soninuki7,그럼 소리를 키워!
11:02:21,dudwp1552,목소리 안들림
11:02:21,루동,자가용
11:02:22,너구리개다람쥐오징어새,마이크볼륨올려줘
11:02:23,파카츄99,목소리가너무작아
11:02:23,수능좋아하는고삼,네!!
11:02:24,topking65,작아영
11:02:24,seongho613,너무 반가워요
11:02:24,자다가봉상뚜드리는소리,목소리 너무 간지러워요
11:02:25,westlife3645,ㅇㅈ
11:02:25,아무생각없는놈,목소리 너무짝응
11:02:25,봄가을겨울,작게들려요
11:02:26,개간랄,"목소리가 너무 작아요 ,,"
11:02:27,피아노로여친만들때까지,선생님 세최탑 솔킬 4번낸 오른손 잘봤습니다!
11:02:28,리니사,목소리기 작아요
